 Phyto chl-specific absorption and scattering coefs. 
 Total absorption from sources indicated.
 PSC only spectra estimated via by-eye reconstruction
 and removal of NPC. See Excel Spreadsheet for                                            
 full info. Format: i4,3f10.4 
 waves : aph_chl : aph_chl_psc : scatt                                                   
 Euk: Thalass.Pseudonana SuggetPersCom                                         
 400    0.0168    0.0154    0.0000
 425    0.0221    0.0193    0.0000
 450    0.0212    0.0168    0.0000
 475    0.0148    0.0103    0.0000
 500    0.0133    0.0095    0.0000
 525    0.0086    0.0083    0.0000
 550    0.0057    0.0057    0.0000
 575    0.0037    0.0037    0.0000
 600    0.0031    0.0031    0.0000
 625    0.0046    0.0046    0.0000
 650    0.0041    0.0041    0.0000
 675    0.0160    0.0160    0.0000
 700    0.0019    0.0019    0.0000
 Syn: WH8103 Moore 1995 (digitised)                                                   
 400    0.0375    0.0221    0.0000
 425    0.0556    0.0251    0.0000
 450    0.0493    0.0124    0.0000
 475    0.0430    0.0057    0.0000
 500    0.0440    0.0115    0.0000
 525    0.0193    0.0157    0.0000
 550    0.0202    0.0201    0.0000
 575    0.0105    0.0105    0.0000
 600    0.0055    0.0055    0.0000
 625    0.0079    0.0079    0.0000
 650    0.0078    0.0078    0.0000
 675    0.0216    0.0216    0.0000
 700    0.0036    0.0036    0.0000
 ProHL: MED4 Moore 1995 (digitised)                                            
 400    0.0358    0.0229    0.0000
 425    0.0567    0.0296    0.0000
 450    0.0598    0.0190    0.0000
 475    0.0364    0.0056    0.0000
 500    0.0255    0.0008    0.0000
 525    0.0050    0.0012    0.0000
 550    0.0029    0.0028    0.0000
 575    0.0033    0.0033    0.0000
 600    0.0048    0.0048    0.0000
 625    0.0062    0.0062    0.0000
 650    0.0067    0.0067    0.0000
 675    0.0230    0.0230    0.0000
 700    0.0024    0.0024    0.0000
 ProLL: SS120 Moore 1995 (digitised)                                                 
 400    0.0536    0.0356    0.0000
 425    0.0859    0.0462    0.0000
 450    0.1013    0.0439    0.0000
 475    0.0849    0.0399    0.0000
 500    0.0500    0.0046    0.0000
 525    0.0111    0.0039    0.0000
 550    0.0064    0.0062    0.0000
 575    0.0070    0.0070    0.0000
 600    0.0103    0.0103    0.0000
 625    0.0109    0.0109    0.0000
 650    0.0207    0.0207    0.0000
 675    0.0282    0.0282    0.0000
 700    0.0030    0.0030    0.0000

