 Spectral seawater absorption and total
 scattering coefficients in units of /m.
 Derived from Smith and Baker 1981 (200-370 nm),
 and (730-800 nm), Pope and Fry 1997 (380-720)
 Circio and Petty 1951 (800nm-2.5um), and 
 and Maul 1985 (2.5-4um).  Format i5,f15.4,f10.4
  400         0.0063    0.0076
  425         0.0051    0.0058
  450         0.0083    0.0045
  475         0.0119    0.0036
  500         0.0215    0.0029
  525         0.0407    0.0023
  550         0.0550    0.0019
  575         0.0849    0.0016
  600         0.1995    0.0014
  625         0.2850    0.0012
  650         0.3512    0.0009
  675         0.4559    0.0007
  700         0.6433    0.0007
